Trip_ID,Truck_ID,Driver_ID,Start_Location,End_Location,Scheduled_Departure,Scheduled_Arrival,Actual_Departure,Actual_Arrival,Weather_Condition,Traffic_Level,Road_Condition,Delay_Minutes,Distance_km,Fuel_Consumption_L,scheduled_duration_min,actual_duration_min,delay_recomputed,avg_speed_actual,fuel_efficiency_kmpl,hour_of_day,day_of_week,month,delay_min,computed_speed
T1010,TR75,D363,Chennai,Delhi,2024-04-03 09:35:00,2024-04-03 13:18:00,2024-04-03 10:25:00,2024-04-03 13:02:00,Snow,Low,Moderate,-66,69,15.35,223,157.0,-66,26.36942675,4.495114006514658,9,2,4,-16.0,26.369426751592357
T1011,TR88,D310,Delhi,Mumbai,2024-06-17 18:49:00,2024-06-18 04:46:00,2024-06-17 19:38:00,2024-06-18 05:41:00,Snow,High,Moderate,6,1033,219.22,597,603.0,6,102.7860697,4.712161299151537,18,0,6,55.0,102.78606965174129
T1012,TR117,D389,Mumbai,Kolkata,2024-06-14 08:08:00,2024-06-14 17:38:00,2024-06-14 08:22:00,2024-06-14 18:34:00,Clear,High,Good,42,258,69.61,570,612.0,42,25.29411765,3.706364028156874,8,4,6,56.0,25.294117647058826
T1013,TR100,D141,Hyderabad,Jaipur,2024-01-31 05:07:00,2024-01-31 09:47:00,2024-01-31 05:26:00,2024-01-31 10:24:00,Fog,High,Poor,18,158,41.58,280,298.0,18,31.81208054,3.7999037999038,5,2,1,37.0,31.812080536912752
T1014,TR104,D156,Bangalore,Lucknow,2024-06-15 20:39:00,2024-06-16 02:21:00,2024-06-15 21:16:00,2024-06-16 03:18:00,Clear,High,Poor,20,957,226.3,342,362.0,20,158.6187845,4.228899690676093,20,5,6,57.0,78.82579317134292
T1015,TR152,D299,Delhi,Bangalore,2024-05-12 02:59:00,2024-05-12 05:09:00,2024-05-12 03:22:00,2024-05-12 05:42:00,Clear,High,Poor,10,466,109.59,130,140.0,10,199.7142857,4.25221279313806,2,6,5,33.0,78.82579317134292
T1016,TR131,D345,Delhi,Jaipur,2024-02-18 11:08:00,2024-02-18 18:21:00,2024-02-18 11:14:00,2024-02-18 18:04:00,Clear,Medium,Moderate,-23,176,53.17,433,410.0,-23,25.75609756,3.310137295467369,11,6,2,-17.0,25.75609756097561
T1017,TR150,D371,Kolkata,Ahmedabad,2024-02-28 08:17:00,2024-02-28 13:35:00,2024-02-28 09:08:00,2024-02-28 15:49:00,Snow,Low,Poor,83,1679,579.37,318,401.0,83,251.2219451,2.8979753870583567,8,2,2,134.0,78.82579317134292
T1018,TR53,D99,Kolkata,Mumbai,2024-04-15 13:56:00,2024-04-15 22:20:00,2024-04-15 14:50:00,2024-04-15 22:43:00,Snow,Medium,Moderate,-31,119,33.28,504,473.0,-31,15.09513742,3.5757211538461537,13,0,4,23.0,15.095137420718816
T1019,TR2,D47,Hyderabad,Pune,2024-06-24 20:00:00,2024-06-25 00:20:00,2024-06-24 20:51:00,2024-06-25 00:48:00,Snow,Low,Good,-23,993,234.06,260,237.0,-23,251.3924051,4.242501922583953,20,0,6,28.0,78.82579317134292
T1020,TR88,D487,Hyderabad,Delhi,2024-01-19 15:24:00,2024-01-19 22:43:00,2024-01-19 16:23:00,2024-01-20 00:20:00,Snow,Low,Moderate,38,1352,299.74,439,477.0,38,170.0628931,4.51057583238807,15,4,1,97.0,78.82579317134292
T1021,TR158,D327,Lucknow,Jaipur,2024-04-30 16:02:00,2024-04-30 23:56:00,2024-04-30 16:03:00,2024-05-01 02:32:00,Rainy,High,Poor,155,95,34.89,474,629.0,155,9.06200318,2.7228432215534535,16,1,4,156.0,9.062003179650238
T1022,TR38,D422,Hyderabad,Jaipur,2024-03-30 13:13:00,2024-03-30 15:17:00,2024-03-30 13:16:00,2024-03-30 15:41:00,Storm,Low,Poor,21,1720,433.16,124,145.0,21,711.7241379,3.970819096869517,13,5,3,24.0,78.82579317134292
T1023,TR130,D480,Delhi,Chennai,2024-02-11 10:41:00,2024-02-11 17:58:00,2024-02-11 11:25:00,2024-02-11 20:18:00,Rainy,Medium,Poor,96,1099,417.04,437,533.0,96,123.7148218,2.6352388260118933,10,6,2,140.0,123.71482176360226
T1024,TR192,D67,Lucknow,Mumbai,2024-06-10 21:31:00,2024-06-11 00:12:00,2024-06-10 22:27:00,2024-06-11 02:41:00,Storm,Low,Poor,93,1268,277.95,161,254.0,93,299.5275591,4.5619715776218746,21,0,6,149.0,78.82579317134292
T1025,TR188,D62,Jaipur,Kolkata,2024-05-05 09:19:00,2024-05-05 11:00:00,2024-05-05 09:54:00,2024-05-05 11:08:00,Snow,Low,Poor,-27,874,209.74,101,74.0,-27,708.6486486,4.1670639839801655,9,6,5,8.0,78.82579317134292
T1026,TR21,D109,Pune,Kolkata,2024-03-11 05:18:00,2024-03-11 09:33:00,2024-03-11 05:50:00,2024-03-11 10:19:00,Rainy,Medium,Good,14,842,198.51,255,269.0,14,187.8066914,4.241599919399527,5,0,3,46.0,78.82579317134292
T1027,TR161,D167,Pune,Chennai,2024-01-12 05:48:00,2024-01-12 12:47:00,2024-01-12 06:29:00,2024-01-12 14:43:00,Storm,Medium,Good,75,244,55.4,419,494.0,75,29.63562753,4.404332129963899,5,4,1,116.0,29.635627530364374
T1028,TR58,D37,Pune,Mumbai,2024-03-29 12:59:00,2024-03-29 15:37:00,2024-03-29 12:53:00,2024-03-29 18:10:00,Fog,Medium,Good,159,768,205.4,158,317.0,159,145.362776,3.73904576436222,12,4,3,153.0,145.3627760252366
T1029,TR22,D119,Mumbai,Bangalore,2024-01-04 16:37:00,2024-01-05 00:04:00,2024-01-04 16:53:00,2024-01-05 02:17:00,Clear,High,Good,117,173,53.28,447,564.0,117,18.40425532,3.2469969969969967,16,3,1,133.0,18.404255319148934
T1030,TR89,D498,Mumbai,Kolkata,2024-01-14 05:11:00,2024-01-14 07:15:00,2024-01-14 06:03:00,2024-01-14 09:44:00,Storm,High,Moderate,97,1752,392.46,124,221.0,97,475.6561086,4.464149212658615,5,6,1,149.0,78.82579317134292
T1031,TR49,D86,Hyderabad,Bangalore,2024-05-11 22:52:00,2024-05-12 04:48:00,2024-05-11 23:04:00,2024-05-12 05:01:00,Rainy,Low,Poor,1,629,141.56,356,357.0,1,105.7142857,4.443345577846849,22,5,5,13.0,105.71428571428571
T1032,TR59,D382,Pune,Ahmedabad,2024-03-26 13:18:00,2024-03-26 21:24:00,2024-03-26 13:06:00,2024-03-26 21:39:00,Rainy,Low,Poor,27,727,256.22,486,513.0,27,85.02923977,2.8374053547732414,13,1,3,15.0,85.02923976608186
T1033,TR170,D392,Chennai,Mumbai,2024-03-13 21:16:00,2024-03-14 01:58:00,2024-03-13 22:01:00,2024-03-14 03:04:00,Fog,High,Good,21,167,35.11,282,303.0,21,33.06930693,4.756479635431501,21,2,3,66.0,33.069306930693074
T1034,TR188,D465,Kolkata,Jaipur,2024-06-07 12:31:00,2024-06-07 15:59:00,2024-06-07 12:27:00,2024-06-07 18:16:00,Storm,Medium,Good,141,369,120.86,208,349.0,141,63.43839542,3.0531193116001987,12,4,6,137.0,63.43839541547278
T1035,TR15,D52,Chennai,Lucknow,2024-03-28 18:54:00,2024-03-29 04:22:00,2024-03-28 18:53:00,2024-03-29 05:11:00,Clear,Medium,Good,50,1798,550.5,568,618.0,50,174.5631068,3.266121707538601,18,3,3,49.0,78.82579317134292
T1036,TR190,D91,Pune,Delhi,2024-05-11 22:22:00,2024-05-12 06:43:00,2024-05-11 22:35:00,2024-05-12 09:13:00,Rainy,Medium,Moderate,137,1895,623.4,501,638.0,137,178.2131661,3.0397818415142766,22,5,5,150.0,78.82579317134292
T1037,TR190,D289,Pune,Ahmedabad,2024-02-21 19:12:00,2024-02-22 03:05:00,2024-02-21 19:09:00,2024-02-22 05:39:00,Snow,High,Moderate,157,783,159.34,473,630.0,157,74.57142857,4.914020333877244,19,2,2,154.0,74.57142857142857
T1038,TR175,D494,Kolkata,Bangalore,2024-06-16 20:15:00,2024-06-16 23:10:00,2024-06-16 20:37:00,2024-06-17 01:06:00,Snow,Medium,Good,94,1272,391.55,175,269.0,94,283.7174721,3.2486272506704124,20,6,6,116.0,78.82579317134292
T1039,TR190,D337,Pune,Mumbai,2024-05-25 16:20:00,2024-05-26 00:52:00,2024-05-25 17:02:00,2024-05-26 03:47:00,Storm,Low,Poor,133,1470,298.26,512,645.0,133,136.744186,4.928585797626233,16,5,5,175.0,136.74418604651163
T1040,TR51,D298,Bangalore,Ahmedabad,2024-05-23 10:43:00,2024-05-23 17:02:00,2024-05-23 11:02:00,2024-05-23 17:15:00,Fog,High,Moderate,-6,1251,305.51,379,373.0,-6,201.233244,4.094792314490524,10,3,5,13.0,78.82579317134292
T1041,TR108,D204,Delhi,Bangalore,2024-02-22 16:15:00,2024-02-23 00:45:00,2024-02-22 16:39:00,2024-02-23 01:48:00,Clear,Medium,Good,39,1116,379.41,510,549.0,39,121.9672131,2.941409029809441,16,3,2,63.0,121.96721311475409
T1042,TR55,D368,Lucknow,Pune,2024-06-22 12:13:00,2024-06-22 14:31:00,2024-06-22 12:02:00,2024-06-22 16:28:00,Storm,Low,Good,128,184,47.37,138,266.0,128,41.5037594,3.884314967278869,12,5,6,117.0,41.503759398496236
T1043,TR64,D238,Kolkata,Lucknow,2024-03-31 09:18:00,2024-03-31 16:14:00,2024-03-31 09:04:00,2024-03-31 16:27:00,Storm,Low,Good,27,1544,328.12,416,443.0,27,209.1196388,4.705595513836402,9,6,3,13.0,78.82579317134292
T1044,TR131,D382,Pune,Chennai,2024-01-11 22:23:00,2024-01-12 01:21:00,2024-01-11 22:37:00,2024-01-12 03:41:00,Clear,Medium,Poor,126,1757,450.03,178,304.0,126,346.7763158,3.904184165500078,22,3,1,140.0,78.82579317134292
T1045,TR51,D155,Mumbai,Pune,2024-01-07 10:12:00,2024-01-07 19:52:00,2024-01-07 10:06:00,2024-01-07 21:12:00,Rainy,High,Moderate,86,1521,537.17,580,666.0,86,137.027027,2.8315058547573395,10,6,1,80.0,137.02702702702703
T1046,TR135,D240,Mumbai,Kolkata,2024-01-20 13:00:00,2024-01-20 18:38:00,2024-01-20 13:57:00,2024-01-20 18:14:00,Snow,High,Poor,-81,1080,335.68,338,257.0,-81,252.1400778,3.2173498570066728,13,5,1,-24.0,78.82579317134292
T1047,TR21,D136,Delhi,Lucknow,2024-03-24 10:41:00,2024-03-24 12:25:00,2024-03-24 11:03:00,2024-03-24 12:36:00,Rainy,Medium,Moderate,-11,571,186.48,104,93.0,-11,368.3870968,3.0619905619905623,10,6,3,11.0,78.82579317134292
T1048,TR73,D407,Mumbai,Hyderabad,2024-03-06 16:57:00,2024-03-06 21:41:00,2024-03-06 17:40:00,2024-03-06 22:12:00,Fog,High,Poor,-12,1151,408.93,284,272.0,-12,253.8970588,2.8146626562003276,16,2,3,31.0,78.82579317134292
T1049,TR167,D362,Lucknow,Delhi,2024-04-14 17:41:00,2024-04-15 03:28:00,2024-04-14 18:00:00,2024-04-15 02:59:00,Clear,Low,Moderate,-48,758,228.44,587,539.0,-48,84.37847866,3.3181579408159694,17,6,4,-29.0,84.37847866419295
T1050,TR18,D381,Ahmedabad,Chennai,2024-03-24 05:18:00,2024-03-24 10:18:00,2024-03-24 06:13:00,2024-03-24 11:04:00,Rainy,Medium,Poor,-9,1263,304.14,300,291.0,-9,260.4123711,4.152692838824226,5,6,3,46.0,78.82579317134292
T1051,TR132,D369,Ahmedabad,Delhi,2024-02-01 13:21:00,2024-02-01 22:22:00,2024-02-01 13:17:00,2024-02-01 22:37:00,Storm,High,Good,19,964,278.91,541,560.0,19,103.2857143,3.45631207199455,13,3,2,15.0,103.28571428571428
T1052,TR89,D64,Ahmedabad,Mumbai,2024-06-28 10:34:00,2024-06-28 13:08:00,2024-06-28 11:00:00,2024-06-28 13:15:00,Storm,High,Poor,-19,1814,502.56,154,135.0,-19,806.2222222,3.6095192613817257,10,4,6,7.0,78.82579317134292
T1053,TR60,D123,Delhi,Ahmedabad,2024-03-08 13:05:00,2024-03-08 20:09:00,2024-03-08 13:38:00,2024-03-08 21:13:00,Fog,High,Good,31,82,24.84,424,455.0,31,10.81318681,3.3011272141706924,13,4,3,64.0,10.813186813186814
T1054,TR14,D254,Delhi,Pune,2024-06-08 13:06:00,2024-06-08 17:10:00,2024-06-08 13:57:00,2024-06-08 18:48:00,Fog,Medium,Poor,47,367,73.6,244,291.0,47,75.67010309,4.986413043478262,13,5,6,98.0,75.6701030927835
T1055,TR9,D477,Lucknow,Bangalore,2024-01-10 08:15:00,2024-01-10 11:30:00,2024-01-10 08:32:00,2024-01-10 13:54:00,Clear,Medium,Good,127,1190,300.09,195,322.0,127,221.7391304,3.965477023559599,8,2,1,144.0,78.82579317134292
T1056,TR90,D114,Kolkata,Jaipur,2024-05-20 09:49:00,2024-05-20 11:13:00,2024-05-20 09:46:00,2024-05-20 12:29:00,Rainy,Low,Good,79,1151,251.05,84,163.0,79,423.6809816,4.584744074885481,9,0,5,76.0,78.82579317134292
T1057,TR53,D20,Hyderabad,Mumbai,2024-01-19 17:54:00,2024-01-20 00:11:00,2024-01-19 18:53:00,2024-01-20 02:01:00,Storm,Medium,Poor,51,1524,422.94,377,428.0,51,213.6448598,3.603347992623067,17,4,1,110.0,78.82579317134292
T1058,TR130,D16,Ahmedabad,Hyderabad,2024-05-04 18:31:00,2024-05-05 01:03:00,2024-05-04 18:35:00,2024-05-05 01:32:00,Clear,Medium,Poor,25,1976,676.34,392,417.0,25,284.3165468,2.9216074755300587,18,5,5,29.0,78.82579317134292
T1059,TR84,D145,Mumbai,Hyderabad,2024-04-03 19:49:00,2024-04-03 22:28:00,2024-04-03 20:06:00,2024-04-04 01:26:00,Clear,High,Poor,161,1615,349.79,159,320.0,161,302.8125,4.617055947854427,19,2,4,178.0,78.82579317134292
T1060,TR92,D208,Chennai,Delhi,2024-05-01 16:11:00,2024-05-01 23:20:00,2024-05-01 16:29:00,2024-05-02 02:01:00,Storm,High,Poor,143,173,39.24,429,572.0,143,18.14685315,4.408766564729867,16,2,5,161.0,18.146853146853147
T1061,TR111,D19,Hyderabad,Kolkata,2024-02-03 11:53:00,2024-02-03 13:04:00,2024-02-03 12:27:00,2024-02-03 15:49:00,Rainy,Medium,Poor,131,908,273.12,71,202.0,131,269.7029703,3.3245459871118923,11,5,2,165.0,78.82579317134292
T1062,TR188,D376,Lucknow,Mumbai,2024-03-04 12:04:00,2024-03-04 14:20:00,2024-03-04 12:38:00,2024-03-04 14:44:00,Snow,High,Good,-10,597,148.65,136,126.0,-10,284.2857143,4.016145307769929,12,0,3,24.0,78.82579317134292
T1063,TR199,D392,Kolkata,Pune,2024-05-21 21:02:00,2024-05-22 03:49:00,2024-05-21 20:55:00,2024-05-22 05:05:00,Fog,High,Good,83,919,336.18,407,490.0,83,112.5306122,2.7336545898030815,21,1,5,76.0,112.53061224489797
T1064,TR172,D166,Mumbai,Jaipur,2024-05-02 08:24:00,2024-05-02 16:46:00,2024-05-02 08:15:00,2024-05-02 16:46:00,Rainy,Medium,Moderate,9,423,164.86,502,511.0,9,49.66731898,2.5658134174451046,8,3,5,0.0,49.66731898238747
T1065,TR8,D38,Pune,Hyderabad,2024-02-11 18:38:00,2024-02-11 21:05:00,2024-02-11 18:31:00,2024-02-11 22:11:00,Snow,Medium,Moderate,73,764,168.3,147,220.0,73,208.3636364,4.539512774806892,18,6,2,66.0,78.82579317134292
T1066,TR175,D181,Kolkata,Pune,2024-01-27 14:12:00,2024-01-27 22:56:00,2024-01-27 14:22:00,2024-01-28 00:47:00,Snow,High,Moderate,101,668,137.6,524,625.0,101,64.128,4.854651162790698,14,5,1,111.0,64.128
T1067,TR35,D349,Ahmedabad,Bangalore,2024-02-22 00:49:00,2024-02-22 10:02:00,2024-02-22 00:35:00,2024-02-22 10:57:00,Storm,Low,Poor,69,661,196.72,553,622.0,69,63.76205788,3.360105734038227,0,3,2,55.0,63.762057877813504
T1068,TR81,D105,Ahmedabad,Delhi,2024-03-25 15:48:00,2024-03-25 20:29:00,2024-03-25 15:37:00,2024-03-25 22:11:00,Snow,Low,Poor,113,193,48.32,281,394.0,113,29.39086294,3.994205298013245,15,0,3,102.0,29.39086294416244
T1069,TR164,D100,Pune,Kolkata,2024-03-26 12:33:00,2024-03-26 22:07:00,2024-03-26 13:23:00,2024-03-26 23:35:00,Fog,Medium,Poor,38,642,149.54,574,612.0,38,62.94117647,4.293165708171727,12,1,3,88.0,62.94117647058824
T1070,TR50,D90,Lucknow,Bangalore,2024-06-28 16:46:00,2024-06-28 19:43:00,2024-06-28 16:40:00,2024-06-28 22:14:00,Clear,Low,Poor,157,68,15.58,177,334.0,157,12.21556886,4.364569961489089,16,4,6,151.0,12.21556886227545
T1071,TR104,D415,Jaipur,Chennai,2024-06-18 21:05:00,2024-06-19 00:20:00,2024-06-18 21:20:00,2024-06-19 02:50:00,Rainy,High,Good,135,212,57.26,195,330.0,135,38.54545455,3.7024100593782747,21,1,6,150.0,38.54545454545455
T1072,TR132,D300,Kolkata,Jaipur,2024-02-15 23:00:00,2024-02-16 03:06:00,2024-02-15 23:17:00,2024-02-16 05:20:00,Fog,High,Good,117,1367,338.94,246,363.0,117,225.9504132,4.033162211600874,23,3,2,134.0,78.82579317134292
T1073,TR2,D444,Pune,Hyderabad,2024-06-13 01:59:00,2024-06-13 08:09:00,2024-06-13 01:49:00,2024-06-13 09:14:00,Snow,Medium,Good,75,1259,303.91,370,445.0,75,169.752809,4.1426738179066165,1,3,6,65.0,78.82579317134292
T1074,TR134,D332,Lucknow,Kolkata,2024-03-13 09:14:00,2024-03-13 16:32:00,2024-03-13 09:12:00,2024-03-13 19:06:00,Clear,Low,Moderate,156,1257,455.74,438,594.0,156,126.969697,2.7581515776539254,9,2,3,154.0,126.96969696969697
T1075,TR54,D401,Lucknow,Chennai,2024-03-02 02:51:00,2024-03-02 10:42:00,2024-03-02 02:50:00,2024-03-02 10:14:00,Clear,High,Moderate,-27,112,27.23,471,444.0,-27,15.13513514,4.113110539845758,2,5,3,-28.0,15.135135135135135
T1076,TR106,D79,Delhi,Kolkata,2024-02-09 16:03:00,2024-02-10 00:03:00,2024-02-09 16:30:00,2024-02-10 02:57:00,Snow,High,Good,147,225,59.57,480,627.0,147,21.53110048,3.777068994460299,16,4,2,174.0,21.5311004784689
T1077,TR4,D73,Kolkata,Ahmedabad,2024-02-28 19:55:00,2024-02-29 00:31:00,2024-02-28 19:59:00,2024-02-29 02:19:00,Fog,Low,Good,104,1822,528.69,276,380.0,104,287.6842105,3.446253948438593,19,2,2,108.0,78.82579317134292
T1078,TR54,D423,Mumbai,Bangalore,2024-01-29 05:31:00,2024-01-29 07:41:00,2024-01-29 05:36:00,2024-01-29 07:52:00,Snow,High,Good,6,371,117.62,130,136.0,6,163.6764706,3.154225471858527,5,0,1,11.0,78.82579317134292
T1079,TR191,D426,Jaipur,Delhi,2024-06-16 04:39:00,2024-06-16 07:28:00,2024-06-16 05:27:00,2024-06-16 10:00:00,Rainy,High,Good,104,1063,259.6,169,273.0,104,233.6263736,4.094761171032357,4,6,6,152.0,78.82579317134292
T1080,TR146,D176,Bangalore,Pune,2024-05-25 14:40:00,2024-05-25 20:24:00,2024-05-25 14:53:00,2024-05-25 22:39:00,Clear,Low,Good,122,1944,666.46,344,466.0,122,250.3004292,2.9169042403144974,14,5,5,135.0,78.82579317134292
T1081,TR44,D396,Chennai,Ahmedabad,2024-03-10 05:33:00,2024-03-10 11:30:00,2024-03-10 06:16:00,2024-03-10 13:31:00,Storm,Low,Moderate,78,240,53.01,357,435.0,78,33.10344828,4.527447651386531,5,6,3,121.0,33.10344827586207
T1082,TR162,D96,Kolkata,Lucknow,2024-04-23 16:49:00,2024-04-24 02:07:00,2024-04-23 17:46:00,2024-04-24 03:53:00,Clear,Medium,Poor,49,1932,659.5,558,607.0,49,190.9719934,2.9294920394238058,16,1,4,106.0,78.82579317134292
T1083,TR190,D345,Hyderabad,Mumbai,2024-04-22 12:23:00,2024-04-22 22:12:00,2024-04-22 13:11:00,2024-04-23 00:02:00,Snow,Low,Poor,62,748,168.89,589,651.0,62,68.94009217,4.428918230801114,12,0,4,110.0,68.94009216589862
T1084,TR14,D103,Lucknow,Chennai,2024-04-17 05:20:00,2024-04-17 09:37:00,2024-04-17 05:48:00,2024-04-17 10:32:00,Snow,Medium,Good,27,1124,247.38,257,284.0,27,237.4647887,4.54361710728434,5,2,4,55.0,78.82579317134292
T1085,TR95,D402,Delhi,Jaipur,2024-01-18 05:55:00,2024-01-18 15:21:00,2024-01-18 06:13:00,2024-01-18 17:16:00,Storm,Low,Poor,97,883,182.09,566,663.0,97,79.90950226,4.84925037069581,5,3,1,115.0,79.90950226244344
T1086,TR48,D463,Pune,Delhi,2024-02-07 11:23:00,2024-02-07 20:31:00,2024-02-07 11:54:00,2024-02-07 20:10:00,Storm,Medium,Good,-52,1190,325.29,548,496.0,-52,143.9516129,3.658274155369055,11,2,2,-21.0,143.9516129032258
T1087,TR15,D224,Ahmedabad,Chennai,2024-01-14 16:30:00,2024-01-14 17:56:00,2024-01-14 16:23:00,2024-01-14 19:45:00,Clear,High,Good,116,1954,734.8,86,202.0,116,580.3960396,2.659227000544366,16,6,1,109.0,78.82579317134292
T1088,TR200,D6,Pune,Bangalore,2024-06-07 15:32:00,2024-06-07 18:29:00,2024-06-07 16:16:00,2024-06-07 18:45:00,Snow,Medium,Poor,-28,357,85.12,177,149.0,-28,143.7583893,4.194078947368421,15,4,6,16.0,143.75838926174495
T1089,TR190,D122,Pune,Chennai,2024-02-21 03:31:00,2024-02-21 05:24:00,2024-02-21 03:45:00,2024-02-21 06:16:00,Clear,Medium,Poor,38,384,119.75,113,151.0,38,152.5827815,3.2066805845511483,3,2,2,52.0,78.82579317134292
T1090,TR40,D236,Jaipur,Lucknow,2024-03-09 21:37:00,2024-03-10 07:00:00,2024-03-09 21:38:00,2024-03-10 08:26:00,Fog,High,Poor,85,423,154.84,563,648.0,85,39.16666667,2.731852234564712,21,5,3,86.0,39.166666666666664
T1091,TR82,D427,Kolkata,Delhi,2024-05-28 08:19:00,2024-05-28 11:50:00,2024-05-28 08:55:00,2024-05-28 11:29:00,Snow,Low,Good,-57,370,79.75,211,154.0,-57,144.1558442,4.639498432601881,8,1,5,-21.0,144.15584415584414
T1092,TR111,D116,Pune,Ahmedabad,2024-02-25 14:59:00,2024-02-25 23:57:00,2024-02-25 15:42:00,2024-02-26 01:35:00,Clear,Low,Moderate,55,1015,356.22,538,593.0,55,102.698145,2.849362753354668,14,6,2,98.0,102.69814502529512
T1093,TR53,D163,Jaipur,Chennai,2024-01-17 13:59:00,2024-01-17 17:40:00,2024-01-17 13:47:00,2024-01-17 20:14:00,Snow,Medium,Good,166,719,190.92,221,387.0,166,111.4728682,3.765975277603185,13,2,1,154.0,111.47286821705426
T1094,TR24,D226,Bangalore,Chennai,2024-02-16 14:56:00,2024-02-16 19:31:00,2024-02-16 15:20:00,2024-02-16 20:11:00,Snow,Low,Poor,16,477,106.68,275,291.0,16,98.35051546,4.471316085489313,14,4,2,40.0,98.35051546391753
T1095,TR154,D230,Mumbai,Ahmedabad,2024-02-18 15:35:00,2024-02-18 23:34:00,2024-02-18 15:26:00,2024-02-19 01:02:00,Rainy,Medium,Good,97,169,56.38,479,576.0,97,17.60416667,2.9975168499467895,15,6,2,88.0,17.604166666666668
T1096,TR188,D182,Bangalore,Lucknow,2024-02-28 20:49:00,2024-02-29 03:36:00,2024-02-28 21:11:00,2024-02-29 05:04:00,Clear,High,Moderate,66,1649,347.77,407,473.0,66,209.1754757,4.741639589383788,20,2,2,88.0,78.82579317134292
T1097,TR124,D249,Kolkata,Lucknow,2024-06-25 08:58:00,2024-06-25 15:37:00,2024-06-25 09:14:00,2024-06-25 17:25:00,Snow,Low,Moderate,92,1036,311.21,399,491.0,92,126.598778,3.3289418720478134,8,1,6,108.0,126.59877800407331
T1098,TR41,D318,Ahmedabad,Pune,2024-04-08 18:12:00,2024-04-09 01:03:00,2024-04-08 19:05:00,2024-04-09 03:33:00,Storm,Low,Good,97,1154,330.56,411,508.0,97,136.2992126,3.4910454985479187,18,0,4,150.0,136.29921259842519
T1099,TR157,D453,Bangalore,Pune,2024-06-23 15:54:00,2024-06-23 23:08:00,2024-06-23 16:45:00,2024-06-24 00:44:00,Storm,Low,Good,45,345,121.96,434,479.0,45,43.21503132,2.8287963266644804,15,6,6,96.0,43.21503131524008
T1100,TR15,D210,Jaipur,Lucknow,2024-04-07 06:53:00,2024-04-07 16:49:00,2024-04-07 07:33:00,2024-04-07 16:22:00,Rainy,High,Moderate,-67,649,157.86,596,529.0,-67,73.61058601,4.1112378056505765,6,6,4,-27.0,73.61058601134215
